contact_id,account_id,name,role,email,influence
ACC012-Head Sales,ACC012,Head Sales TRECC,Head Sales,head@example.com,98
ACC013-CEO,ACC013,CEO LangChain,CEO,ceo@example.com,93
ACC013-CTO,ACC013,CTO LangChain,CTO,cto@example.com,74
ACC013-VP Engineering,ACC013,VP Engineering LangChain,VP Engineering,vp@example.com,98
ACC013-Head Sales,ACC013,Head Sales LangChain,Head Sales,head@example.com,90
ACC014-CEO,ACC014,CEO Pinecone,CEO,ceo@example.com,74
ACC014-CTO,ACC014,CTO Pinecone,CTO,cto@example.com,86
ACC014-VP Engineering,ACC014,VP Engineering Pinecone,VP Engineering,vp@example.com,74
ACC014-Head Sales,ACC014,Head Sales Pinecone,Head Sales,head@example.com,99
ACC015-CEO,ACC015,CEO Supabase,CEO,ceo@example.com,77
ACC015-CTO,ACC015,CTO Supabase,CTO,cto@example.com,74
ACC015-VP Engineering,ACC015,VP Engineering Supabase,VP Engineering,vp@example.com,90
ACC015-Head Sales,ACC015,Head Sales Supabase,Head Sales,head@example.com,94
ACC016-CEO,ACC016,CEO Vercel,CEO,ceo@example.com,83
ACC016-CTO,ACC016,CTO Vercel,CTO,cto@example.com,86
ACC016-VP Engineering,ACC016,VP Engineering Vercel,VP Engineering,vp@example.com,98
ACC016-Head Sales,ACC016,Head Sales Vercel,Head Sales,head@example.com,71
ACC017-CEO,ACC017,CEO Groq,CEO,ceo@example.com,74
ACC017-CTO,ACC017,CTO Groq,CTO,cto@example.com,86
ACC017-VP Engineering,ACC017,VP Engineering Groq,VP Engineering,vp@example.com,88
ACC017-Head Sales,ACC017,Head Sales Groq,Head Sales,head@example.com,94
ACC018-CEO,ACC018,CEO Anthropic,CEO,ceo@example.com,86
ACC018-CTO,ACC018,CTO Anthropic,CTO,cto@example.com,72
ACC018-VP Engineering,ACC018,VP Engineering Anthropic,VP Engineering,vp@example.com,75
ACC018-Head Sales,ACC018,Head Sales Anthropic,Head Sales,head@example.com,94
ACC019-CEO,ACC019,CEO Perplexity,CEO,ceo@example.com,90
ACC019-CTO,ACC019,CTO Perplexity,CTO,cto@example.com,82
ACC019-VP Engineering,ACC019,VP Engineering Perplexity,VP Engineering,vp@example.com,99
ACC019-Head Sales,ACC019,Head Sales Perplexity,Head Sales,head@example.com,87
ACC020-CEO,ACC020,CEO Cohere,CEO,ceo@example.com,71
ACC020-CTO,ACC020,CTO Cohere,CTO,cto@example.com,93
ACC020-VP Engineering,ACC020,VP Engineering Cohere,VP Engineering,vp@example.com,99
ACC020-Head Sales,ACC020,Head Sales Cohere,Head Sales,head@example.com,91
